Table 1,,,,,,,,,,,,,,,,,,
Customer_ID,Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Employment_Status,Account_Tenure,Credit_Card_Type,Location,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6
CUST0001,56,165580,398,0.390501928600237,3,0,16310,0.31739611496857,EMP,18,Student,Los Angeles,Late,Late,Missed,Late,Missed,Late
CUST0002,69,100999,493,0.312444033226017,6,1,17401,0.196092643360821,Self-employed,0,Standard,Phoenix,Missed,Missed,Late,Missed,On-time,On-time
CUST0003,46,188416,500,0.359930238508409,0,0,13761,0.301654939890911,Self-employed,1,Platinum,Chicago,Missed,Late,Late,On-time,Missed,Late
CUST0004,32,101672,413,0.371400355303824,3,0,88778,0.264794439228806,Unemployed,15,Platinum,Phoenix,Late,Missed,Late,Missed,Late,Late
CUST0005,60,38524,487,0.234715862628201,2,0,13316,0.510583482534848,Self-employed,11,Standard,Phoenix,Missed,On-time,Missed,Late,Late,Late
CUST0006,25,84042,700,0.650540429714525,6,0,48361,0.260687881080009,Unemployed,7,Gold,New York,On-time,Late,Missed,Missed,Missed,Late
CUST0007,38,35056,354,0.390580940522579,3,0,4638,0.484265137288334,employed,17,Platinum,New York,On-time,Missed,Missed,Late,Missed,Late
CUST0008,56,123215,415,0.532714667117731,5,0,55776,0.358695229118337,EMP,1,Student,New York,On-time,On-time,On-time,Late,Missed,Late
CUST0009,36,66991,405,0.413034847617951,5,1,,0.219854102927027,Employed,12,Student,Phoenix,On-time,On-time,On-time,Missed,Late,On-time
CUST0010,40,34870,679,0.361823917542758,4,0,93922,0.333081092525975,EMP,5,Business,Los Angeles,On-time,Missed,Missed,On-time,Missed,Missed
CUST0011,28,42532,340,0.83445584721737,4,0,82909,0.269559025366218,Unemployed,5,Student,Chicago,On-time,Late,Missed,Missed,On-time,Late
CUST0012,28,70479,679,0.684586436441881,3,0,75777,0.324215749074123,Unemployed,8,Business,Chicago,On-time,Missed,Missed,Late,On-time,Late
CUST0013,41,56975,320,0.126359920008971,0,0,15171,0.228610901256673,EMP,15,Standard,Los Angeles,Late,Late,Missed,Late,On-time,On-time
CUST0014,70,117023,528,0.105172510332822,5,0,95136,0.469017763334595,retired,10,Standard,Los Angeles,On-time,Missed,Missed,Missed,On-time,On-time
CUST0015,53,143148,617,0.708521767127297,0,0,2593,0.392539809079672,Unemployed,6,Standard,Chicago,Late,Missed,Late,Late,Late,Late
CUST0016,57,159356,601,0.396029321690249,0,0,1514,0.303178156816159,Self-employed,9,Gold,Houston,Missed,On-time,Late,Missed,Missed,Late
CUST0017,41,146484,543,0.170183533213155,3,0,74039,0.472911476806953,Self-employed,9,Gold,New York,Late,Missed,On-time,Missed,Missed,Late
CUST0018,20,183152,823,0.709147026508068,0,1,28018,0.307427924408284,Unemployed,19,Business,New York,On-time,On-time,Late,Late,On-time,Late
CUST0019,39,81040,831,0.533824810019818,5,0,16034,0.409762496486116,Unemployed,17,Student,Chicago,Missed,On-time,On-time,Late,On-time,Missed
CUST0020,70,181319,486,0.550314216966463,2,0,2420,0.303830058752242,retired,19,Student,Los Angeles,Late,Missed,Late,Late,Late,Missed
CUST0021,19,199402,783,0.661907854401181,4,0,43942,0.339388759481057,Self-employed,8,Standard,Houston,Late,Late,On-time,On-time,On-time,Late
